asset_id,name,kind,latitude,longitude,source
1,Folgueroles Airfield,airport,41.9527,2.3072,ourairports:ES-0109
2,Albacete Airport / Los Llanos Air Base,airport,38.948502,-1.86352,ourairports:LEAB
3,Alicante-Elche Miguel Hernández Airport,airport,38.2822,-0.558156,ourairports:LEAL
4,Almería Airport,airport,36.843899,-2.3701,ourairports:LEAM
5,Asturias Airport,airport,43.563599,-6.03462,ourairports:LEAS
6,Córdoba Airport,airport,37.841999,-4.84888,ourairports:LEBA
7,Bilbao Airport,airport,43.301102,-2.91061,ourairports:LEBB
8,Burgos Airport,airport,42.357601,-3.62076,ourairports:LEBG
9,Josep Tarradellas Barcelona-El Prat Airport,airport,41.2971,2.07846,ourairports:LEBL
10,Badajoz Airport,airport,38.8913,-6.82133,ourairports:LEBZ
11,Castellón-Costa Azahar Airport,airport,40.213889,0.073333,ourairports:LECH
12,A Coruña Airport,airport,43.302101,-8.37726,ourairports:LECO
13,Madrid-Cuatro Vientos Airport,airport,40.370701,-3.78514,ourairports:LECU
14,Lleida-Alguaire Airport,airport,41.728185,0.535023,ourairports:LEDA
15,Armilla Air Base,airport,37.133202,-3.63569,ourairports:LEGA
16,Girona-Costa Brava Airport,airport,41.904639,2.761774,ourairports:LEGE
17,F.G.L. Airport Granada-Jaén Airport,airport,37.188702,-3.77736,ourairports:LEGR
18,Getafe Air Base,airport,40.294102,-3.72383,ourairports:LEGT
19,Ibiza Airport,airport,38.872898,1.37312,ourairports:LEIB
20,Jerez Airport,airport,36.744598,-6.06011,ourairports:LEJR
21,San Javier Airport,airport,37.775002,-0.812389,ourairports:LELC
22,León Airport,airport,42.590709,-5.653406,ourairports:LELN
23,Logroño-Agoncillo Airport,airport,42.460953,-2.322235,ourairports:LELO
24,Adolfo Suárez Madrid–Barajas Airport,airport,40.493407,-3.572249,ourairports:LEMD
25,Málaga-Costa del Sol Airport,airport,36.6749,-4.49911,ourairports:LEMG
26,Menorca Airport,airport,39.862598,4.21865,ourairports:LEMH
27,Region of Murcia International Airport,airport,37.802852,-1.124884,ourairports:LEMI
28,Moron Air Base,airport,37.17490005493164,-5.615940093994141,ourairports:LEMO
29,Palma de Mallorca Airport,airport,39.551701,2.73881,ourairports:LEPA
30,Pamplona Airport,airport,42.77,-1.64633,ourairports:LEPP
31,Alcantarilla Air Base,airport,37.951099,-1.23032,ourairports:LERI
32,Ciudad Real International Airport,airport,38.856479,-3.969944,ourairports:LERL
33,Reus Airport,airport,41.147509,1.168354,ourairports:LERS
34,Rota Naval Station Airport,airport,36.645198822,-6.34946012497,ourairports:LERT
35,Salamanca Airport,airport,40.952099,-5.50199,ourairports:LESA
36,San Sebastián Airport,airport,43.356499,-1.79061,ourairports:LESO
37,Santiago-Rosalía de Castro Airport,airport,42.896301,-8.41514,ourairports:LEST
38,Pirineus - la Seu d'Urgel Airport,airport,42.3386,1.40917,ourairports:LESU
39,Teruel Airport,airport,40.410269,-1.217366,ourairports:LETL
40,Madrid–Torrejón Airport / Torrejón Air Base,airport,40.487875,-3.456808,ourairports:LETO
41,Valencia Airport,airport,39.489162,-0.480961,ourairports:LEVC
42,Valladolid Airport,airport,41.7061,-4.85194,ourairports:LEVD
43,Vitoria Airport,airport,42.882801,-2.72447,ourairports:LEVT
